title;title_poster
A unified approach to interpreting model predictions;A Unified Approach to Interpreting Model Predictions
Bayesian GANs;Bayesian GAN
Communication-Efficient Stochastic Gradient Descent, with Applications to Neural Networks;QSGD: Communication-Efficient SGD via Gradient Quantization and Encoding
Deep Networks for Decoding Natural Images from Retinal Signals;Neural Networks for Efficient Bayesian Decoding of Natural Images from Retinal Neurons
End-to-end Differentiable Proving;End-to-End Differentiable Proving
Inhomogoenous Hypergraph Clustering with Applications;Inhomogeneous Hypergraph Clustering with Applications
Online Learning of Linear Dynamical Systems;Learning Linear Dynamical Systems via Spectral Filtering
Posterior sampling for reinforcement learning: worst-case regret bounds;Optimistic posterior sampling for reinforcement learning: worst-case regret bounds
Scene Physics Acquisition via Visual De-animation;Learning to See Physics via Visual De-animation
Second-order Optimization in Deep Reinforcement Learning using Kronecker-factored Approximation;Second-order Optimization for Deep Reinforcement Learning using Kronecker-factored Approximation
Style Transfer from Non-parallel Text by Cross-Alignment;Style Transfer from Non-Parallel Text by Cross-Alignment
Tensor encoding and decomposition of brain connectomes with application to tractography evaluation;Unified representation of tractography and diffusion-weighted MRI data using sparse multidimensional arrays
What-If Reasoning using Counterfactual Gaussian Processes;Counterfactual Gaussian Processes for Reliable Decision-making and What-if Reasoning
